# x  OriginalData  Fit  Background  peak0  peak1  peak2
3.900000000000000000e+01 3.100000000000000000e+01 2.026609832668153643e+01 1.918990988514431706e+01 8.783868110541869223e-01 1.714544314235959543e-01 2.634719905943830667e-02
3.902000000000000313e+01 3.000000000000000000e+01 2.030576692221252699e+01 1.922496322676369118e+01 8.825529417745339167e-01 1.718509720951291730e-01 2.639978157917371310e-02
3.903999999999999915e+01 2.100000000000000000e+01 2.034540659396061457e+01 1.925995638559604117e+01 8.867487964682948531e-01 1.722488902102219110e-01 2.645252168605356086e-02
3.906000000000000227e+01 2.100000000000000000e+01 2.038501763251330345e+01 1.929488936164128177e+01 8.909746587048047450e-01 1.726481921567314670e-01 2.650542001048438595e-02
3.907999999999999829e+01 1.700000000000000000e+01 2.042460033188969248e+01 1.932976215489938454e+01 8.952308154446864119e-01 1.730488843595917314e-01 2.655847718602849863e-02
3.910000000000000142e+01 2.400000000000000000e+01 2.046415498958959844e+01 1.936457476537043476e+01 8.995175570886710936e-01 1.734509732810724236e-01 2.661169384942307578e-02
3.911999999999999744e+01 2.700000000000000000e+01 2.050368190664323365e+01 1.939932719305437558e+01 9.038351775272183142e-01 1.738544654210392448e-01 2.666507064059914223e-02
3.914000000000000057e+01 2.100000000000000000e+01 2.054318138766214830e+01 1.943401943795123543e+01 9.081839741909959463e-01 1.742593673172171953e-01 2.671860820270095457e-02
3.915999999999999659e+01 1.800000000000000000e+01 2.058265374089074129e+01 1.946865150006098588e+01 9.125642481021919439e-01 1.746656855454548629e-01 2.677230718210523927e-02
3.917999999999999972e+01 2.200000000000000000e+01 2.062209927825886879e+01 1.950322337938371220e+01 9.169763039267188054e-01 1.750734267199923477e-01 2.682616822844087479e-02
3.920000000000000284e+01 2.800000000000000000e+01 2.066151831543489337e+01 1.953773507591927228e+01 9.214204500272834553e-01 1.754825974937299082e-01 2.688019199460838990e-02
3.921999999999999886e+01 1.700000000000000000e+01 2.070091117188043128e+01 1.957218658966775138e+01 9.258969985173793882e-01 1.758932045584996329e-01 2.693437913679982282e-02
3.924000000000000199e+01 2.200000000000000000e+01 2.074027817090520287e+01 1.960657792062914950e+01 9.304062653161979668e-01 1.763052546453396652e-01 2.698873031451872601e-02
3.925999999999999801e+01 2.000000000000000000e+01 2.077961963972330395e+01 1.964090906880346665e+01 9.349485702044656454e-01 1.767187545247692892e-01 2.704324619060012591e-02
3.928000000000000114e+01 2.600000000000000000e+01 2.081893590951021267e+01 1.967518003419064598e+01 9.395242368812652956e-01 1.771337110070683452e-01 2.709792743123080536e-02
3.929999999999999716e+01 1.200000000000000000e+01 2.085822731546110731e+01 1.970939081679077276e+01 9.441335930218102135e-01 1.775501309425564500e-01 2.715277470596962756e-02
3.932000000000000028e+01 2.000000000000000000e+01 2.089749419684967080e+01 1.974354141660379014e+01 9.487769703362358698e-01 1.779680212218773538e-01 2.720778868776814116e-02
3.934000000000000341e+01 2.400000000000000000e+01 2.093673689708845131e+01 1.977763183362978339e+01 9.534547046293920802e-01 1.783873887762826016e-01 2.726297005299107082e-02
3.935999999999999943e+01 2.200000000000000000e+01 2.097595576378962079e+01 1.981166206786858197e+01 9.581671358616831169e-01 1.788082405779200246e-01 2.731831948143722405e-02
3.938000000000000256e+01 2.000000000000000000e+01 2.101515114882783308e+01 1.984563211932038485e+01 9.629146082109649729e-01 1.792305836401240637e-01 2.737383765636046060e-02
3.939999999999999858e+01 2.300000000000000000e+01 2.105432340840273042e+01 1.987954198798502148e+01 9.676974701355108843e-01 1.796544250177067870e-01 2.742952526449068257e-02
3.942000000000000171e+01 3.700000000000000000e+01 2.109347290310400780e+01 1.991339167386260556e+01 9.725160744380947353e-01 1.800797718072539022e-01 2.748538299605517848e-02
3.943999999999999773e+01 2.400000000000000000e+01 2.113259999797644539e+01 1.994718117695305182e+01 9.773707783311745834e-01 1.805066311474211593e-01 2.754141154479993608e-02
3.946000000000000085e+01 2.500000000000000000e+01 2.117170506258693763e+01 1.998091049725644552e+01 9.822619435032476920e-01 1.809350102192345267e-01 2.759761160801132637e-02
3.947999999999999687e+01 1.900000000000000000e+01 2.121078847109200183e+01 2.001457963477272983e+01 9.871899361863438749e-01 1.813649162463918940e-01 2.765398388653761766e-02
3.950000000000000000e+01 2.600000000000000000e+01 2.124985060230704903e+01 2.004818858950193317e+01 9.921551272247386422e-01 1.817963564955685507e-01 2.771052908481103083e-02
3.952000000000000313e+01 1.400000000000000000e+01 2.128889183977648258e+01 2.008173736144402710e+01 9.971578921448613908e-01 1.822293382767234127e-01 2.776724791086957952e-02
3.953999999999999915e+01 3.200000000000000000e+01 2.132791257184530664e+01 2.011522595059906848e+01 1.002198611226450931e+00 1.826638689434092466e-01 2.782414107637936826e-02
3.956000000000000227e+01 2.700000000000000000e+01 2.136691319173172232e+01 2.014865435696700047e+01 1.007277669574982770e+00 1.830999558930858362e-01 2.788120929665691833e-02
3.957999999999999829e+01 2.900000000000000000e+01 2.140589409760132256e+01 2.018202258054782305e+01 1.012395457195375714e+00 1.835376065674332036e-01 2.793845329069157002e-02
3.960000000000000142e+01 1.300000000000000000e+01 2.144485569264243452e+01 2.021533062134156467e+01 1.017552369067028062e+00 1.839768284526714648e-01 2.799587378116826647e-02
3.961999999999999744e+01 1.500000000000000000e+01 2.148379838514274809e+01 2.024857847934819688e+01 1.022748805220183632e+00 1.844176290798789086e-01 2.805347149449022304e-02
