# x  Fit  Background  peak0  peak1
5.200000000000000000e+01 2.617310078081986902e+01 2.327971935016648786e+01 2.712562062710082600e+00 1.808193679432981427e-01
5.202000000000000313e+01 2.626614911817799580e+01 2.334636098780833890e+01 2.737940597606710380e+00 1.818475327629492100e-01
5.203999999999999915e+01 2.635927463028372131e+01 2.341271244818062769e+01 2.763677683196592128e+00 1.828844989065024351e-01
5.206000000000000227e+01 2.645248421787649562e+01 2.347877373128289946e+01 2.789780119397692992e+00 1.839303671959008901e-01
5.207999999999999829e+01 2.654578494544667322e+01 2.354454483711560897e+01 2.816254868428996971e+00 1.849852399020653348e-01
5.210000000000000142e+01 2.663918404593989564e+01 2.361002576567875622e+01 2.843109059491162771e+00 1.860492207699776523e-01
5.211999999999999744e+01 2.673268892562172994e+01 2.367521651697188645e+01 2.870349993605576966e+00 1.871224150442674650e-01
5.214000000000000057e+01 2.682630716910911772e+01 2.374011709099545442e+01 2.897985148618341000e+00 1.882049294953251073e-01
5.215999999999999659e+01 2.692004654457045731e+01 2.380472748774923275e+01 2.926022184375285384e+00 1.892968724459401231e-01
5.217999999999999972e+01 2.701391500910705545e+01 2.386904770723344882e+01 2.954468948075114731e+00 1.903983537984915431e-01
5.220000000000000284e+01 2.710792071431772143e+01 2.393307774944764788e+01 2.983333479807385391e+00 1.915094850626894440e-01
5.221999999999999886e+01 2.720207201205934666e+01 2.399681761439251204e+01 3.012624018282942462e+00 1.926303793838908263e-01
5.224000000000000199e+01 2.729637746040376456e+01 2.406026730206735920e+01 3.042349006764405228e+00 1.937611515720000788e-01
5.225999999999999801e+01 2.739084582980799709e+01 2.412342681247241671e+01 3.072517099204618685e+00 1.949019181309634974e-01
5.228000000000000114e+01 2.748548610949857007e+01 2.418629614560791197e+01 3.103137166601775743e+00 1.960527972888813919e-01
5.229999999999999716e+01 2.758030751408174552e+01 2.424887530147339021e+01 3.134218303579616727e+00 1.972139090287409746e-01
5.232000000000000028e+01 2.767531949039163308e+01 2.431116428006953356e+01 3.165769835202302485e+00 1.983853751197974247e-01
5.234000000000000341e+01 2.777053172457846131e+01 2.437316308139565990e+01 3.197801324033198167e+00 1.995673191496054044e-01
5.235999999999999943e+01 2.786595414945688987e+01 2.443487170545222398e+01 3.230322577447938492e+00 2.007598665567281448e-01
5.238000000000000256e+01 2.796159695211531471e+01 2.449629015223899842e+01 3.263343655212181726e+00 2.019631446641351746e-01
5.239999999999999858e+01 2.805747058180449827e+01 2.455741842175621059e+01 3.296874877334985410e+00 2.031772827133019321e-01
